Time	Channel A	Channel B
(ms)	(V)	(V)

135.13839403	0.07874016	0.00000000
135.14241003	0.07874016	0.00000000
135.14642603	0.07874016	0.00000000
135.15044203	0.07874016	-0.01574803
135.15445803	0.07874016	-0.01574803
135.15847403	0.07874016	0.00000000
135.16249003	0.07874016	-0.01574803
135.16650603	0.07874016	-0.01574803
135.17052203	0.07874016	-0.01574803
135.17453803	0.07874016	-0.01574803
135.17855403	0.07874016	-0.01574803
135.18257003	0.07874016	0.00000000
135.18658603	0.07874016	0.00000000
135.19060202	0.07874016	0.00000000
135.19461802	0.07874016	0.00000000
135.19863402	0.07874016	-0.01574803
135.20265002	0.07874016	-0.01574803
135.20666602	0.15748030	-0.01574803
135.21068202	0.07874016	0.00000000
135.21469802	0.07874016	-0.01574803
135.21871402	0.07874016	0.00000000
135.22273002	0.07874016	-0.01574803
135.22674602	0.07874016	-0.01574803
135.23076202	0.07874016	0.00000000
135.23477802	0.07874016	0.00000000
135.23879402	0.15748030	0.00000000
135.24281002	0.07874016	0.00000000
135.24682602	0.07874016	0.00000000
135.25084202	0.07874016	0.00000000
135.25485802	0.07874016	0.00000000
135.25887402	0.07874016	-0.01574803
135.26289002	0.07874016	-0.01574803
135.26690602	0.07874016	-0.01574803
135.27092202	0.07874016	0.00000000
135.27493802	0.07874016	-0.01574803
135.27895402	0.07874016	-0.01574803
135.28297002	0.07874016	-0.01574803
135.28698602	0.15748030	-0.01574803
135.29100202	0.07874016	-0.01574803
135.29501802	0.07874016	0.00000000
135.29903402	0.07874016	-0.01574803
135.30305002	0.07874016	0.00000000
135.30706602	0.07874016	-0.01574803
135.31108202	0.07874016	0.00000000
135.31509802	0.07874016	0.00000000
135.31911402	0.07874016	-0.01574803
135.32313002	0.07874016	-0.01574803
135.32714602	0.07874016	0.00000000
135.33116202	0.07874016	-0.01574803
135.33517802	0.07874016	0.00000000
135.33919402	0.07874016	0.00000000
135.34321002	0.07874016	-0.01574803
135.34722602	0.07874016	-0.01574803
135.35124202	0.07874016	0.00000000
135.35525802	0.07874016	0.00000000
135.35927402	0.07874016	0.00000000
135.36329002	0.07874016	0.00000000
135.36730602	0.07874016	0.00000000
135.37132202	0.07874016	0.00000000
135.37533802	0.07874016	0.00000000
135.37935402	0.07874016	0.00000000
135.38337002	0.07874016	0.00000000
135.38738602	0.07874016	0.00000000
135.39140202	0.07874016	0.00000000
135.39541802	0.07874016	-0.01574803
135.39943402	0.07874016	-0.01574803
135.40345002	0.07874016	0.00000000
135.40746602	0.07874016	0.00000000
135.41148202	0.07874016	0.00000000
135.41549801	0.07874016	0.00000000
135.41951401	0.07874016	0.00000000
135.42353001	0.07874016	0.00000000
135.42754601	0.07874016	0.00000000
135.43156201	0.07874016	-0.01574803
135.43557801	0.07874016	0.00000000
135.43959401	0.07874016	0.00000000
135.44361001	0.07874016	0.00000000
135.44762601	0.07874016	0.00000000
135.45164201	0.07874016	0.00000000
135.45565801	0.07874016	0.00000000
135.45967401	0.07874016	-0.01574803
135.46369001	0.07874016	0.00000000
135.46770601	0.07874016	-0.01574803
135.47172201	0.07874016	-0.01574803
135.47573801	0.07874016	-0.01574803
135.47975401	0.07874016	-0.01574803
135.48377001	0.07874016	0.00000000
135.48778601	0.07874016	-0.01574803
135.49180201	0.07874016	-0.01574803
135.49581801	0.07874016	-0.01574803
135.49983401	0.07874016	-0.01574803
135.50385001	0.15748030	0.00000000
135.50786601	0.07874016	-0.01574803
135.51188201	0.07874016	-0.01574803
135.51589801	0.07874016	0.00000000
135.51991401	0.07874016	0.00000000
135.52393001	0.07874016	0.00000000
135.52794601	0.07874016	0.00000000
135.53196201	0.07874016	0.00000000
135.53597801	0.07874016	0.00000000
135.53999401	0.07874016	0.00000000
135.54401001	0.07874016	0.00000000
135.54802601	0.07874016	0.00000000
135.55204201	0.07874016	-0.01574803
135.55605801	0.07874016	-0.01574803
135.56007401	0.07874016	0.00000000
135.56409001	0.07874016	-0.01574803
135.56810601	0.07874016	0.00000000
135.57212201	0.07874016	-0.01574803
135.57613801	0.07874016	-0.01574803
135.58015401	0.07874016	0.00000000
135.58417001	0.07874016	-0.01574803
135.58818601	0.07874016	0.00000000
135.59220201	0.07874016	0.00000000
135.59621801	0.07874016	0.00000000
135.60023401	0.07874016	0.00000000
135.60425001	0.15748030	0.00000000
135.60826601	0.07874016	0.00000000
135.61228201	0.07874016	0.00000000
135.61629801	0.07874016	0.00000000
135.62031401	0.07874016	0.00000000
135.62433001	0.07874016	0.00000000
135.62834601	0.07874016	0.00000000
135.63236201	0.07874016	0.00000000
135.63637801	0.07874016	0.00000000
135.64039400	0.07874016	-0.01574803
135.64441000	0.07874016	0.00000000
135.64842600	0.07874016	0.00000000
135.65244200	0.07874016	0.00000000
135.65645800	0.07874016	0.00000000
135.66047400	0.07874016	0.00000000
135.66449000	0.07874016	0.00000000
135.66850600	0.07874016	0.00000000
135.67252200	0.07874016	0.00000000
135.67653800	0.07874016	0.00000000
135.68055400	0.07874016	0.00000000
135.68457000	0.07874016	0.00000000
135.68858600	0.07874016	0.00000000
135.69260200	0.00000000	0.00000000
135.69661800	0.07874016	0.00000000
135.70063400	0.07874016	0.00000000
135.70465000	0.07874016	0.00000000
135.70866600	0.07874016	0.00000000
135.71268200	0.07874016	0.00000000
135.71669800	0.07874016	0.00000000
135.72071400	0.07874016	0.00000000
135.72473000	0.07874016	0.00000000
135.72874600	0.07874016	0.00000000
135.73276200	0.07874016	0.00000000
135.73677800	0.07874016	-0.01574803
135.74079400	0.07874016	0.00000000
135.74481000	0.07874016	0.00000000
135.74882600	0.07874016	0.00000000
135.75284200	0.07874016	0.00000000
135.75685800	0.07874016	-0.01574803
135.76087400	0.07874016	0.00000000
135.76489000	0.07874016	-0.01574803
135.76890600	0.15748030	0.00000000
135.77292200	0.07874016	0.00000000
135.77693800	0.07874016	0.00000000
135.78095400	0.07874016	0.00000000
135.78497000	0.07874016	0.00000000
135.78898600	0.07874016	0.00000000
135.79300200	0.07874016	0.00000000
135.79701800	0.07874016	0.00000000
135.80103400	0.07874016	0.00000000
135.80505000	0.07874016	0.00000000
135.80906600	0.07874016	0.00000000
135.81308200	0.07874016	0.00000000
135.81709800	0.07874016	-0.01574803
135.82111400	0.07874016	0.00000000
135.82513000	0.07874016	0.00000000
135.82914600	0.07874016	0.00000000
135.83316200	0.07874016	0.00000000
135.83717800	0.07874016	0.00000000
135.84119400	0.15748030	0.00000000
135.84521000	0.07874016	0.00000000
135.84922600	0.07874016	0.00000000
135.85324200	0.07874016	0.00000000
135.85725800	0.15748030	0.00000000
135.86127400	0.07874016	-0.01574803
135.86528999	0.07874016	0.00000000
135.86930599	0.07874016	0.00000000
135.87332199	0.07874016	0.00000000
135.87733799	0.07874016	-0.01574803
135.88135399	0.15748030	-0.01574803
135.88536999	0.07874016	-0.01574803
135.88938599	0.07874016	0.00000000
135.89340199	0.07874016	0.00000000
135.89741799	0.07874016	0.00000000
135.90143399	0.07874016	0.00000000
135.90544999	0.07874016	-0.01574803
135.90946599	0.07874016	-0.01574803
135.91348199	0.07874016	-0.01574803
135.91749799	0.07874016	-0.01574803
135.92151399	0.07874016	-0.01574803
135.92552999	0.07874016	0.00000000
135.92954599	0.07874016	0.00000000
135.93356199	0.15748030	0.00000000
135.93757799	0.07874016	-0.01574803
135.94159399	0.07874016	0.00000000
135.94560999	0.07874016	0.00000000
135.94962599	0.07874016	0.00000000
135.95364199	0.07874016	-0.01574803
135.95765799	0.07874016	-0.01574803
135.96167399	0.07874016	-0.01574803
135.96568999	0.07874016	-0.01574803
135.96970599	0.07874016	-0.01574803
135.97372199	0.07874016	-0.01574803
135.97773799	0.07874016	-0.01574803
135.98175399	0.07874016	-0.01574803
135.98576999	0.07874016	-0.01574803
135.98978599	0.07874016	-0.01574803
135.99380199	0.07874016	0.00000000
135.99781799	0.07874016	-0.01574803
136.00183399	0.07874016	0.00000000
136.00584999	0.15748030	0.00000000
136.00986599	0.07874016	0.00000000
136.01388199	0.07874016	0.00000000
136.01789799	0.07874016	0.00000000
136.02191399	0.07874016	-0.01574803
136.02592999	0.15748030	0.00000000
136.02994599	0.07874016	0.00000000
136.03396199	0.07874016	0.00000000
136.03797799	0.07874016	0.00000000
136.04199399	0.07874016	0.00000000
136.04600999	0.07874016	0.00000000
136.05002599	0.07874016	0.00000000
136.05404199	0.07874016	0.00000000
136.05805799	0.07874016	0.00000000
136.06207399	0.07874016	0.00000000
136.06608999	0.07874016	0.00000000
136.07010599	0.07874016	0.00000000
136.07412199	0.07874016	0.00000000
136.07813799	0.07874016	-0.01574803
136.08215399	0.07874016	-0.01574803
136.08616998	0.07874016	-0.01574803
136.09018598	0.07874016	-0.01574803
136.09420198	0.07874016	-0.01574803
136.09821798	0.07874016	-0.01574803
136.10223398	0.07874016	0.00000000
136.10624998	0.07874016	0.00000000
136.11026598	0.07874016	0.00000000
136.11428198	0.07874016	0.00000000
136.11829798	0.07874016	0.00000000
136.12231398	0.07874016	0.00000000
136.12632998	0.07874016	0.00000000
136.13034598	0.07874016	0.00000000
136.13436198	0.07874016	0.00000000
136.13837798	0.07874016	-0.01574803
136.14239398	0.07874016	0.00000000
136.14640998	0.07874016	0.00000000
136.15042598	0.07874016	-0.01574803
136.15444198	0.07874016	0.00000000
136.15845798	0.07874016	0.00000000
136.16247398	0.07874016	-0.01574803
136.16648998	0.07874016	-0.01574803
136.17050598	0.07874016	-0.01574803
136.17452198	0.07874016	-0.01574803
136.17853798	0.07874016	-0.01574803
136.18255398	0.07874016	-0.01574803
136.18656998	0.07874016	-0.01574803
136.19058598	0.07874016	-0.01574803
136.19460198	0.07874016	-0.01574803
136.19861798	0.07874016	-0.01574803
136.20263398	0.07874016	-0.01574803
136.20664998	0.07874016	-0.01574803
136.21066598	0.07874016	-0.01574803
136.21468198	0.07874016	-0.01574803
136.21869798	0.07874016	-0.01574803
136.22271398	0.07874016	0.00000000
136.22672998	0.07874016	-0.01574803
136.23074598	0.07874016	-0.01574803
136.23476198	0.15748030	0.00000000
136.23877798	0.15748030	0.00000000
136.24279398	0.15748030	0.00000000
136.24680998	0.15748030	0.00000000
136.25082598	0.07874016	0.00000000
136.25484198	0.07874016	0.00000000
136.25885798	0.07874016	0.00000000
136.26287398	0.07874016	-0.01574803
136.26688998	0.07874016	-0.01574803
136.27090598	0.07874016	-0.01574803
136.27492198	0.15748030	-0.01574803
136.27893798	0.07874016	0.00000000
136.28295398	0.15748030	0.00000000
136.28696998	0.07874016	0.00000000
136.29098598	0.07874016	-0.01574803
